data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
6708717,422,LBN3228,3228,"19 December 2019",2019,1,Riots,"Violent demonstration","Rioters (Lebanon)",,5,,,0,50,"Middle East",Lebanon,Beirut,Beirut,,Beirut-Mazraa,33.8783,35.5073,1,"Civil Society Knowledge Centre","Local partner-Other","On December 19 2019, On day 64 of the anti-government demonstrations, demonstrators blocked the Aisha Bakkar road towards Al-Sanayeh in Beirut with burning tires and the Cola road under the bridge. [size=no report]",0,1578503875,LBN
6713837,710,SAF12058,12058,"19 December 2019",2019,1,Protests,"Peaceful protest","Protesters (South Africa)","ANC: African National Congress",6,,,0,60,"Southern Africa","South Africa",Gauteng,"City of Tshwane","City of Tshwane",Pretoria,-25.7449,28.1878,1,"Pretoria News",Subnational,"On 19 December 2019, ANC supporters demonstrated outside the Pretoria High court during the judgment in a case brought by the DA, seeking to nullify the resolutions taken by council to remove the Tshwane mayor and speaker. [size=no report].",0,1578512392,ZAF
6716397,760,SYR72984,72984,"19 December 2019",2019,1,"Explosions/Remote violence","Air/drone strike","Military Forces of Syria (2000-) Syrian Arab Air Force",,1,,,0,10,"Middle East",Syria,Idleb,Jisr-Ash-Shugur,Jisr-Ash-Shugur,Frikeh,35.7571,36.3597,1,Liveuamap,"Local partner-New media","On 19 December 2019, regime warplanes carried out airstrikes on Frikeh in Idleb with neither fatalities nor injuries reported.",0,1578515226,SYR
6708718,422,LBN3231,3231,"19 December 2019",2019,1,Riots,"Violent demonstration","Rioters (Lebanon)",,5,,,0,50,"Middle East",Lebanon,North,Tripoli,,Tripoli,34.4367,35.8497,1,"Civil Society Knowledge Centre","Local partner-Other","On December 19 2019, On day 64 of the anti-government demonstrations, demonstrators blocked the Palma road in Tripoli at the City's southern entrance with cars, iron barricades and burning tyres. [size=no report]",0,1578503875,LBN
6716398,760,SYR73492,73492,"19 December 2019",2019,1,"Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Syria (2000-)",,1,"Civilians (Syria)",,7,17,"Middle East",Syria,Idleb,Idleb,Idleb,Idleb,35.929,36.6353,2,Liveuamap,"Local partner-New media","On 19 December 2019, regime forces shelled areas just south of Idleb city, killing and wounding several civilians. Unknown fatalities coded as 10.",10,1578515226,SYR
6714607,356,IND68275,68275,"19 December 2019",2019,1,Protests,"Peaceful protest","Protesters (India)","CPI: Communist Party of India; CPI(M): Communist Party of India (Marxist); CPI(ML): Communist Party of India (Marxist-Leninist); RMP: Revolutionary Marxist Party; MCPI-U: Marxist Communist Party of India-United",6,,,0,60,"Southern Asia",India,Punjab,Amritsar,Amritsar,Amritsar,31.6344,74.8728,1,"Chandigarh Tribune",Subnational,"On Dec 19, protests were held by the Communist Party of India (CPI), the CPI (M), the CPI (ML), the Revolutionary Marxist Party of India (RMPI), and the Marxist Communist Party of India (United) against the Citizenship (Amendment) Act, 2019 (CAA) in Amritsar (Punjab). [size=no report]",0,1578514387,IND
6716911,760,SYR73375,73375,"19 December 2019",2019,1,"Strategic developments","Looting/property destruction","Operation Peace Spring","Opposition Rebels (Syria); Military Forces of Turkey (2016-)",2,"Civilians (Syria)",,7,27,"Middle East",Syria,Ar-Raqqa,"Tell Abiad","Ein Issa",Sharkrak,36.4346,38.977,1,SOHR,Other,"Looting: On 19 December 2019, opposition rebels looted grain silos in Sharkrak in Ar-Raqqa and transported the loot into Turkey, reportedly accompanied by Turkish forces.",0,1578515228,SYR
6709744,191,HRV418,418,"19 December 2019",2019,1,Protests,"Peaceful protest","Protesters (Croatia)","Health Workers (Croatia)",6,,,0,60,Europe,Croatia,"City of Zagreb",Zagreb,,Zagreb-Podsljeme,45.8615,15.9829,1,"JutarnjiLIST Online",National,"On 19 December, employees of the 'Srebrnjak' children's hospital protested in Zagreb, Croatia to show support for the hospital director who was fired amid accusations of quackery, claiming the accusations are false [size=no report]",0,1578510534,HRV
6715120,356,IND68244,68244,"19 December 2019",2019,1,Protests,"Peaceful protest","Protesters (India)",,6,,,0,60,"Southern Asia",India,Bihar,Rohtas,Sasaram,Sasaram,24.9491,84.0294,2,"Hindustan Times",National,"On 19 December, residents held a protest in Rohtas district (Bihar) against the Citizenship (Amendment) Act, 2019 (CAA), leading to disruptions in the rail and road traffic. [size=no report]",0,1578514388,IND
6716144,760,SYR73039,73039,"19 December 2019",2019,1,Battles,"Armed clash","Islamic State (Syria)",,2,"Military Forces of Syria (2000-)",,1,12,"Middle East",Syria,Homs,Tadmor,Tadmor,"Al-Hail - Oil Field",34.7081,38.7892,2,"Liveuamap; SOHR","Local partner-New media","On 19 December 2019, clashes took place between IS fighters and regime forces in the desert near Al-Hail Oil Field in Homs after IS fighters ambushed a gas station in the area. Clashes resulted in the killing of 13 regime fighters and 4 civilians who were working at the gas station. Total fatalities 17.",17,1578515226,SYR
6708722,422,LBN3222,3222,"19 December 2019",2019,1,Protests,"Peaceful protest","Protesters (Lebanon)",,6,,,0,60,"Middle East",Lebanon,Akkar,Akkar,,Qoubaiyat,34.5667,36.2833,2,"Civil Society Knowledge Centre","Local partner-Other","On December 19 2019, On day 64 of the anti-government demonstrations, demonstrators blocked the road between Bire and Qoubaiyat. [size=no report]",0,1578503875,LBN
6708723,422,LBN3234,3234,"19 December 2019",2019,1,Riots,"Violent demonstration","Rioters (Lebanon)",,5,,,0,50,"Middle East",Lebanon,North,Zgharta,,Aalma,34.4269,35.8978,2,"Civil Society Knowledge Centre","Local partner-Other","On December 19 2019, On day 64 of the anti-government demonstrations, rioters blocked a road in Al-Awayrenah and Bayad near Aalma with burning tyres. [size=no report]",0,1578503875,LBN
